10	63	1024	2
0.0031	0.0013	
0.0023	0.0009	
0.0013	0.0004	
0.0004	0.000	
-0.0007	-0.0002	
-0.0015	-0.0004	
-0.0021	-0.0002	
-0.0023	-0.0001	
-0.0024	0.000	
-0.0023	0.0001	
-0.0022	0.0002	
-0.0017	0.0004	
-0.0009	0.0004	
0.0004	0.0004	
0.0017	0.0002	
0.0027	0.000	
0.0032	-0.0002	
0.0029	-0.0002	
0.0023	-0.0004	
0.0018	-0.0004	
0.0015	-0.0005	
0.0012	-0.0002	
0.0013	-0.0001	
0.0017	0.000	
0.0023	0.0001	
0.0032	0.0001	
0.0038	0.0001	
0.0044	0.0001	
0.0046	-0.0001	
0.0045	-0.0002	
0.0043	-0.0006	
0.0037	-0.0007	
0.0029	-0.0011	
0.0021	-0.0015	
0.0015	-0.0017	
0.0005	-0.0017	
-0.0005	-0.0018	
-0.0013	-0.0017	
-0.002	-0.0015	
-0.0023	-0.0013	
-0.0024	-0.0011	
-0.0024	-0.001	
-0.0022	-0.0007	
-0.002	-0.0006	
-0.0013	-0.0002	
-0.0004	0.000	
0.0007	0.000	
0.002	0.000	
0.0026	0.000	
0.0027	-0.0001	
0.0023	0.000	
0.002	0.0002	
0.0016	0.0004	
0.0016	0.0005	
0.0015	0.0006	
0.0016	0.0009	
0.0021	0.0011	
0.0026	0.0012	
0.0033	0.0013	
0.0039	0.0015	
0.0043	0.0016	
0.0043	0.0015	
0.0042	0.0015	
0.0037	0.0013	
0.0032	0.0012	
0.0026	0.001	
0.002	0.0007	
0.0011	0.0006	
0.0001	0.0006	
-0.0009	0.0009	
-0.0016	0.0012	
-0.0022	0.0015	
-0.0026	0.0017	
-0.0028	0.0016	
-0.0027	0.0016	
-0.0026	0.0016	
-0.002	0.0017	
-0.0012	0.002	
-0.0001	0.0023	
0.0011	0.0026	
0.0021	0.0027	
0.0026	0.0027	
0.0023	0.0026	
0.0018	0.0027	
0.0012	0.0026	
0.0009	0.0024	
0.0006	0.0023	
0.0006	0.0023	
0.0009	0.0024	
0.0012	0.0023	
0.0021	0.0023	
0.0027	0.0021	
0.0034	0.0018	
0.0038	0.0017	
0.0037	0.0016	
0.0034	0.0015	
0.0027	0.0013	
0.0021	0.0011	
0.0015	0.0009	
0.0007	0.0007	
-0.0002	0.0005	
-0.0013	0.0004	
-0.0024	0.0002	
-0.0033	0.0002	
-0.0039	0.0001	
-0.0042	0.000	
-0.0043	-0.0001	
-0.004	-0.0001	
-0.0038	0.000	
-0.0033	0.000	
-0.0024	0.000	
-0.0012	0.000	
-0.0001	-0.0002	
0.0006	-0.0005	
0.0007	-0.0006	
0.0004	-0.0006	
-0.0004	-0.0005	
-0.0009	-0.0004	
-0.0012	-0.0004	
-0.0013	-0.0005	
-0.0011	-0.0006	
-0.0007	-0.0007	
0.000	-0.0007	
0.0009	-0.0007	
0.0016	-0.0007	
0.0021	-0.0009	
0.0021	-0.001	
0.0017	-0.001	
0.0012	-0.001	
0.0006	-0.0011	
0.000	-0.0011	
-0.0006	-0.0012	
-0.0013	-0.0016	
-0.0024	-0.0017	
-0.0034	-0.002	
-0.0045	-0.0021	
-0.0051	-0.002	
-0.0055	-0.002	
-0.0056	-0.0018	
-0.0055	-0.0018	
-0.0051	-0.0016	
-0.0048	-0.0013	
-0.0042	-0.0011	
-0.0033	-0.0009	
-0.0022	-0.0009	
-0.0012	-0.001	
-0.0006	-0.0012	
-0.0006	-0.0011	
-0.001	-0.0011	
-0.0015	-0.0009	
-0.0017	-0.0007	
-0.0017	-0.0005	
-0.0016	-0.0002	
-0.0013	0.000	
-0.0009	0.0001	
-0.0002	0.0001	
0.0002	0.0001	
0.0009	0.000	
0.0011	0.000	
0.0011	0.000	
0.0009	0.000	
0.0006	0.000	
0.0002	0.0001	
-0.0002	0.0001	
-0.0009	0.000	
-0.0018	-0.0001	
-0.0031	-0.0002	
-0.0043	-0.0004	
-0.0052	-0.0004	
-0.0059	-0.0002	
-0.006	-0.0001	
-0.0057	0.000	
-0.0055	0.0001	
-0.005	0.0002	
-0.0044	0.0005	
-0.0035	0.0007	
-0.0023	0.0009	
-0.0012	0.0006	
-0.0004	0.0006	
0.000	0.0006	
-0.0004	0.0007	
-0.0009	0.001	
-0.0012	0.0009	
-0.0016	0.0009	
-0.0018	0.001	
-0.0018	0.001	
-0.0015	0.0012	
-0.0009	0.0013	
-0.0001	0.0013	
0.0006	0.0013	
0.0012	0.0012	
0.0015	0.0012	
0.0012	0.001	
0.0009	0.001	
0.0001	0.001	
-0.0005	0.0007	
-0.0012	0.0005	
-0.002	0.0001	
-0.0029	-0.0001	
-0.0039	-0.0002	
-0.0048	-0.0004	
-0.0055	-0.0005	
-0.0059	-0.0005	
-0.0059	-0.0006	
-0.0059	-0.0007	
-0.0057	-0.0007	
-0.0052	-0.0006	
-0.0046	-0.0004	
-0.0037	-0.0002	
-0.0024	-0.0004	
-0.0015	-0.0005	
-0.0007	-0.0007	
-0.0007	-0.0009	
-0.0011	-0.0009	
-0.0017	-0.0009	
-0.002	-0.0009	
-0.0021	-0.0009	
-0.0021	-0.0009	
-0.0018	-0.0006	
-0.0013	-0.0006	
-0.0006	-0.0006	
0.0001	-0.0006	
0.0007	-0.0007	
0.0012	-0.0009	
0.0013	-0.001	
0.0011	-0.0011	
0.0006	-0.0012	
0.0002	-0.0012	
-0.0004	-0.0015	
-0.0011	-0.0017	
-0.002	-0.0021	
-0.0033	-0.0023	
-0.0044	-0.0027	
-0.0052	-0.0027	
-0.0059	-0.0027	
-0.0059	-0.0027	
-0.0056	-0.0026	
-0.0051	-0.0023	
-0.0046	-0.0022	
-0.004	-0.0017	
-0.0032	-0.0015	
-0.0021	-0.0012	
-0.001	-0.0013	
0.000	-0.0016	
0.0004	-0.0016	
0.0002	-0.0017	
-0.0001	-0.0015	
-0.0005	-0.0015	
-0.0007	-0.0011	
-0.001	-0.001	
-0.0009	-0.0007	
-0.0006	-0.0005	
0.0001	-0.0002	
0.001	-0.0002	
0.0017	-0.0004	
0.0024	-0.0005	
0.0028	-0.0005	
0.0029	-0.0005	
0.0027	-0.0004	
0.0021	-0.0004	
0.0016	-0.0005	
0.001	-0.0009	
0.0002	-0.001	
-0.0005	-0.0011	
-0.0015	-0.0011	
-0.0023	-0.0009	
-0.0029	-0.0007	
-0.0033	-0.0005	
-0.0034	-0.0001	
-0.0033	0.000	
-0.0032	0.0001	
-0.0027	0.0004	
-0.0021	0.0006	
-0.0011	0.0007	
0.0001	0.0009	
0.0013	0.0007	
0.0021	0.0005	
0.0022	0.0004	
0.002	0.0005	
0.0015	0.0007	
0.0011	0.0009	
0.001	0.001	
0.0009	0.0011	
0.0011	0.0012	
0.0016	0.0012	
0.0024	0.0013	
0.0032	0.0015	
0.004	0.0015	
0.0045	0.0015	
0.0048	0.0015	
0.0048	0.0013	
0.0043	0.0012	
0.0035	0.001	
0.0029	0.0007	
0.0021	0.0004	
0.0012	0.0002	
0.0004	0.0001	
-0.0007	0.0001	
-0.0017	0.0002	
-0.0023	0.0004	
-0.0028	0.0005	
-0.0031	0.0004	
-0.0031	0.0004	
-0.0027	0.0004	
-0.0022	0.0006	
-0.0013	0.0009	
-0.0002	0.001	
0.0012	0.001	
0.0023	0.0009	
0.0028	0.0007	
0.0026	0.0004	
0.002	0.0002	
0.0015	0.0002	
0.0013	0.0001	
0.0012	0.0002	
0.0011	0.0005	
0.0013	0.0007	
0.0017	0.0009	
0.0024	0.001	
0.0033	0.001	
0.0038	0.0006	
0.0042	0.0005	
0.004	0.0002	
0.0037	0.0001	
0.0031	-0.0002	
0.0024	-0.0005	
0.0018	-0.0009	
0.0011	-0.0012	
0.0004	-0.0013	
-0.0006	-0.0015	
0.0017	-0.0004	
0.0015	-0.0004	
0.001	-0.0002	
0.0005	-0.0001	
0.0002	0.000	
0.0001	0.000	
0.0001	0.0001	
0.0004	0.0002	
0.001	0.0004	
0.0016	0.0005	
0.0023	0.0005	
0.0029	0.0006	
0.0033	0.0005	
0.0034	0.0005	
0.0031	0.0004	
0.0027	0.0002	
0.002	-0.0001	
0.001	-0.0005	
0.0001	-0.0009	
-0.001	-0.0012	
-0.0018	-0.0011	
-0.0028	-0.0011	
-0.0033	-0.0009	
-0.0035	-0.0006	
-0.0035	-0.0005	
-0.0034	-0.0004	
-0.0032	-0.0002	
-0.0028	-0.0001	
-0.0022	0.000	
-0.0012	0.0001	
0.000	0.0001	
0.0011	0.000	
0.0017	-0.0002	
0.0017	-0.0002	
0.0012	-0.0002	
0.0007	0.000	
0.0005	0.0001	
0.0004	0.0002	
0.0004	0.0004	
0.0006	0.0005	
0.0011	0.0006	
0.0016	0.0007	
0.0024	0.0009	
0.0031	0.0007	
0.0034	0.0006	
0.0035	0.0005	
0.0032	0.0002	
0.0027	0.000	
0.002	-0.0002	
0.0013	-0.0005	
0.0007	-0.0009	
0.0001	-0.001	
-0.0007	-0.0009	
-0.0016	-0.0006	
-0.0023	-0.0005	
-0.0031	-0.0002	
-0.0034	-0.0001	
-0.0034	0.000	
-0.0034	0.000	
-0.0032	0.000	
-0.0028	0.0001	
-0.0022	0.0001	
-0.001	0.0001	
0.0001	0.0001	
0.0012	-0.0001	
0.0017	-0.0002	
0.0016	-0.0002	
0.0012	-0.0002	
0.0007	-0.0001	
0.0004	0.000	
0.0001	0.0001	
-0.0001	0.0002	
0.0001	0.0004	
0.0006	0.0004	
0.0015	0.0005	
0.0022	0.0005	
0.0029	0.0005	
0.0033	0.0006	
0.0033	0.0005	
0.0031	0.0004	
0.0024	0.0002	
0.002	0.000	
0.0012	-0.0002	
0.0006	-0.0005	
-0.0002	-0.0007	
-0.0012	-0.0006	
-0.0022	-0.0006	
-0.0031	-0.0006	
-0.0035	-0.0005	
-0.0039	-0.0004	
-0.004	-0.0004	
-0.0039	-0.0002	
-0.0034	-0.0001	
-0.0027	0.0001	
-0.0015	0.0001	
-0.0001	0.0002	
0.001	0.0001	
0.0017	0.0001	
0.0017	0.0001	
0.0013	0.0002	
0.0009	0.0004	
0.0005	0.0004	
0.0002	0.0004	
0.0002	0.0004	
0.0002	0.0005	
0.0006	0.0006	
0.0013	0.0006	
0.002	0.0006	
0.0028	0.0006	
0.0033	0.0006	
0.0035	0.0005	
0.0034	0.0002	
0.0029	0.0001	
0.0022	-0.0002	
0.0016	-0.0005	
0.001	-0.0007	
0.0004	-0.0009	
-0.0006	-0.0009	
-0.0015	-0.0007	
-0.0023	-0.0005	
-0.0028	-0.0004	
-0.0033	-0.0002	
-0.0034	-0.0001	
-0.0033	-0.0001	
-0.0031	0.000	
-0.0026	0.0002	
-0.0018	0.0004	
-0.0007	0.0005	
0.0005	0.0005	
0.0013	0.0004	
0.0018	0.0002	
0.0016	0.0002	
0.0011	0.0002	
0.0006	0.0004	
0.0005	0.0002	
0.0004	0.0004	
0.0004	0.0005	
0.0006	0.0006	
0.001	0.0007	
0.0018	0.0006	
0.0026	0.0006	
0.0032	0.0006	
0.0035	0.0006	
0.0035	0.0006	
0.0032	0.0006	
0.0027	0.0006	
0.0021	0.0005	
0.0015	0.0004	
0.0009	0.0001	
0.000	-0.0001	
-0.0011	-0.0004	
-0.0021	-0.0005	
-0.0029	-0.0006	
-0.0034	-0.0006	
-0.0035	-0.0006	
-0.0035	-0.0006	
-0.0032	-0.0005	
-0.0028	-0.0005	
-0.0023	-0.0005	
-0.0015	-0.0005	
-0.0007	-0.0005	
0.000	-0.0005	
0.0006	-0.0006	
